nom,prenom,contact_Email,contact_Fonction,contact_Note,contact_Telephone_fixe,contact_Telephone_portable,contact_adresse_adresse,contact_adresse_cp,contact_adresse_pays,contact_adresse_ville,structure,struture_Email,struture_Telephone_fixe,struture_adresse_adresse,struture_adresse_cp,struture_adresse_pays,struture_adresse_ville,listes
,,,,,,,,,,,,,,,,,,
abbaé,toto,test@cool.org,,"champion de tennis
","05 32 12 12 81",,"La rue des 2 €
appt 8
cool
super
super cool",32000,,Tarabiscote,"Association Campagnes Actives",contact.aca@orange.fr,"05 75 83 99 99","Le Plangeron",12680,,Tamanrahset,musique
Aegir,Thorgalson,,,,,,,,,,,,,,,,,
Albert,Toto,,guitariste,,,"06 05 04 03 02",,,,,"The Ultimates",,"06 58 68 48 78",,,,,
Albert,Toto,,,,,,,,,,,,,,,,,
Alfonse,Elric,Fullmet@lalchimiste.net,,,,,,,,,,,,,,,,
Alfonse,Elric,,directeur,,,,,,,,"Droguerie Familiale & Ancestrale",maison.batignole@orenge.fr,"05 63 35 12 81","place de la Bastide",31000,,Toulouse,
Armaing,Colin,films@Piremont.org,,,,,,,,,,,,,,,,
,,,,,,,,,,,"Association Belle Ville",,,"Place de la bastille",75000,,Paris,été
,,,,,,,,,,,"Association Campagnes Actives",contact.aca@orange.fr,"05 75 83 99 99","Le Plangeron",12680,,Tamanrahset,été
Bac,Rose,tutu@orange.fr,,,,,,,,,,,,,,,,
Beautiful,Toto,,,,"05 65 98 87 54",,,,,,,,,,,,,
Benoit,Mireille,,,,,,,,,,,,,,,,,
Bernstein,"Alfred ",,,,,,"appt 8 
377ème rue",8795423,"Etats Unis","New York",,,,,,,,
Bernstein,"Alfred ",,,,,,,,,,"Groupe médical",groupemedical@free.fr,"02 56 59 58 57","rue de la santé",99000,,Maville,
Binet,Perine,,,,"07 83 64 73 62","06 63 84 70 31",,,,,,,,,,,,"hivers, projet lune, musique, clients magasin, Public concert"
Blaise,Basile,bb@truc.netffr,,,"09 87 65 43 21","06 54 32 19 87",,,,,,,,,,,,
Blanchard,Hermine,,,,,,,,,,,,,,,,,"inscrits newsletter"
Bonnet,Germain,,,,,,,,,,,,,,,,,"Public concert"
Boulègue,Andrée,la@en-haut.com,,,,,,,,,"The Ultimates",,,,,,,"inscrits newsletter"
Carrié,Josette,,,,"05 26 35 25 44",,,,,,,,,,,,,
Champolion,Marcel,,,,,,,,,,"Communauté de Communes",culture@maisoncommune.fr,,,,,,
Cinema,Gilbert,,,,,,,,,,"Groupe médical",,,,,,,"Belle ville"
,,,,,,,,,,,"Communauté de Communes",contact@maisoncommune.fr,,"Maison Commune
rue de la liberté",99000,,"le Bourg",
,,,,,,,,,,,"Communauté de Communes",culture@maisoncommune.fr,,,,,,
,,,,,,,,,,,"Communauté de Communes",,,,,,,
,,,,,,,,,,,"Compagnie Mescladis",compagnie@mescladis.fr,"04 32 21 14 15","25 rue d'ici",58320,,Acote,
,,,,,,,,,,,"Compagnie Mescladis",,,,,,,
Cool,Man,,,,,,,,,,,,,,,,,chili
Coolto,Elise,,,,,,,,,,"The Ultimates",,"06 58 68 48 78",,,,,
Creneau,Raphaël,fabrice.lapeyrere@gmail.com,,,,"06 05 04 08 07",,,,,"Droguerie Familiale & Ancestrale",maison.batignole@orenge.fr,"05 63 35 12 81","place de la Bastide",31000,,Toulouse,"projet lune"
"De France",Emile,defrance.e@communesjoyeuses.org,,,,,,,,,,,,,,,,"conseil général"
"De France",Emile,,fonction,,,,,,,,"Communauté de Communes",contact@maisoncommune.fr,,"Maison Commune
rue de la liberté",99000,,"le Bourg",élus
Douze,Hercule,,,,"05 62 35 45 78",,,,,,"Compagnie Mescladis",,,,,,,"sorties, musique"
,,,,,,,,,,,"Droguerie Familiale & Ancestrale",maison.batignole@orenge.fr,"05 63 35 12 81","place de la Bastide",31000,,Toulouse,
Désert,Sahra,,,,,,,,,,"Compagnie Mescladis",,,,,,,
Elric,Antoine,,président,,,,,,,,"Association Campagnes Actives",contact.aca@orange.fr,"05 75 83 99 99","Le Plangeron",12680,,Tamanrahset,
Grand-Pas,Aragorn,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"Groupe médical",groupemedical@free.fr,"02 56 59 58 57","rue de la santé",99000,,Maville,
,,,,,,,,,,,"Groupe médical",,,,,,,
hamacman,Charles,,,,,,"dans le jardin",12340,,honfleur,,,,,,,,
Harley,David,fabrice.lapeyrere@surlefil.org,,,,,,,,,,,,,,,,
Harley,David,,,,,,,,,,"Association Belle Ville",,,"Place de la bastille",75000,,Paris,
Hedelweiss,Berta,,,,,,,,,,,,,,,,,"musique, projet terre"
Hedelweiss,Berta,,,,,,,,,,"Association Campagnes Actives",contact.aca@orange.fr,"05 75 83 99 99","Le Plangeron",12680,,Tamanrahset,
"joli coeur",Aimé,aimejoli@kiwi.org,,,,,,,,,,,,,,,,
"Keller ",Quim,QuimK@space.com,,,,"06 31 56 78 99",,,,,,,,,,,,"projet terre, conquête spatiale"
Lapeyre,Mélanie,,,,,,,,,,,,,,,,,chili
Lapeyrère,Hélène,,,,,,,,,,,,,,,,,
Lapeyrère,Hélène,,,,"05 62 35 45 78",,,,,,"Notre structure",,,,,,,
"Le Guen",Romulus,,,,"02 34 56 78 90",,Plouermec,22456,,"Ste Amandine sur Chaumière",,,,,,,,
,,,,,,,,,,,"Mairie de la commune",mairiemaville@orange.fr,,"Mairie de ma commune",99000,,Maville,
,,,,,,,,,,,"Mairie de la commune",secretariatmaville@orange.fr,,,,,,
,,,,,,,,,,,"Mairie de la commune",,,,,,,
Mayanube,Tricotin,tricotin.m@opera.org,,,"+33 5 63 25 64 57",,,,,,,,,,,,,
Menthe,Jean,auteur@scarabe.wd,,,,,,,,,,,,,,,,"projet terre"
Meunier,Michel,,,,,,,,,,,,,,,,,
Moonrunner,Luc,force@sabrelaser.eu,chevalier,,,,,,,,,,,,,,,"projet lune"
Mouysset,Alexandre,,,,,"06 07 41 35 70",,,,,"Notre structure",contact@cheznous.fr,"01 02 03 04 05",fenies,81120,France,"Saint Antonin de Lacalm","hivers, projet terre"
Mouysset,Alexandre,,,,,,,,,,"Notre structure",contact@cheznous.fr,"01 02 03 04 05",fenies,81120,France,"Saint Antonin de Lacalm",
Mouysset,Rémi,e.mouysset@toto.org,,,,,,,,,,,,,,,,
Mêlée,Denis,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"Notre structure",contact@cheznous.fr,"01 02 03 04 05",fenies,81120,France,"Saint Antonin de Lacalm",
,,,,,,,,,,,"Notre structure",,,,,,,
,,,,,,,,,,,"Notre structure",,,,,,,
Perez,Ramon,,,"insomniaque
",,,,,,,,,,,,,,"clients, clients magasin"
Perroquet,Coco,perroquet@terrasse.org,,,,,,,,,,,,,,,,"clients e-boutique"
Plane,Michel,plane.michel@bearn.com,"adjoint CdC",,,,,,,,,,,,,,,"clients e-boutique"
Prima,First,chef@manitou.org,,,,,,,,,,,,,,,,"hivers, satellites, planètes, conseil général"
Pêche,Melba,,,,,,,,,,,,,,,,,"projet terre, Public concert"
"Qui Roule",Pierre,,,,,,,,,,,,,,,,,
Richard,Estelle,,,,,,,,,,,,,,,,,"hivers, clients magasin"
ringo,,,,,,,,,,,,,,,,,,
ringobis,Napo,,,,,,,,,,,,,,,,,"Belle ville"
ringoquat,Léon,,,,,,,,,,,,,,,,,
ringoter,,,,,,,,,,,,,,,,,,"Belle ville"
Roule,Boule,,,,,,,,,,,,,,,,,
Roule,Boule,,chanteur,,,,,,,,"The Ultimates",,"06 58 68 48 78",,,,,
Roumegous,Eric,,,,,,,,,,,,,,,,,
Roumegous,Eric,,,,,,,,,,"Communauté de Communes",,,,,,,
